country,year,under5_mortality_per_1000,electricity_access_pct,net_enrollment_primary_pct
Bangladesh,2000,85.44824831,43.333333333333336,
Bangladesh,2001,80.13695271666667,44.699999999999996,
Bangladesh,2002,75.24561860666667,46.93333333333334,
Bangladesh,2003,70.77942741,49.1,
Bangladesh,2004,66.70319219666668,48.36666666666667,
Bangladesh,2005,62.965384873333335,52.333333333333336,93.68999
Bangladesh,2006,59.544361826666666,56.166666666666664,93.43051
Bangladesh,2007,56.425450213333335,53.699999999999996,
Bangladesh,2008,53.58712003666667,60.4,92.56719
Bangladesh,2009,51.002334986666675,62.73333333333334,92.54123
Bangladesh,2010,48.65227560666667,61.79999999999999,90.53203
Bangladesh,2011,46.477403943333336,65.16666666666667,
Bangladesh,2012,44.40485816,69.96666666666665,
Bangladesh,2013,42.39575775666667,66.03333333333333,
Bangladesh,2014,40.42104720333334,67.06666666666666,
Bangladesh,2015,38.4967679,77.13333333333333,
Bangladesh,2016,36.634416120000004,78.66666666666667,
Bangladesh,2017,34.919898726666666,89.7,
Bangladesh,2018,33.43498379,88.26666666666667,
Bangladesh,2019,32.247284646666664,92.96666666666665,
Bangladesh,2020,31.400575223333334,96.39999999999999,
Bangladesh,2021,30.86511235333333,99.06666666666666,
Bangladesh,2022,30.622076563333334,99.56666666666666,
Bangladesh,2023,30.564484763333336,99.53333333333335,
Ethiopia,2000,139.9258264,30.200000000000003,40.1724
Ethiopia,2001,133.63028146666667,44.75,43.93817
Ethiopia,2002,127.2633728,45.900000000000006,46.06448
Ethiopia,2003,120.85051170000001,31.833333333333332,46.78406
Ethiopia,2004,114.3990781,33.166666666666664,49.57821
Ethiopia,2005,108.18180374333333,33.43333333333333,60.38556
Ethiopia,2006,102.26363278333334,35.9,65.01391
Ethiopia,2007,96.75347833333335,37.266666666666666,70.07064
Ethiopia,2008,91.65101827666666,38.56666666666667,75.77882
Ethiopia,2009,86.91627440666666,39.93333333333333,75.36213
Ethiopia,2010,82.5360083,41.333333333333336,73.35168
Ethiopia,2011,78.46888553999999,39.26666666666667,77.23446
Ethiopia,2012,74.63866331666667,44.06666666666666,78.49475
Ethiopia,2013,71.02453468666667,45.46666666666667,
Ethiopia,2014,67.56316230333333,43.73333333333333,85.10069
Ethiopia,2015,64.27212581333333,43.166666666666664,84.62346
Ethiopia,2016,61.161189119999996,53.56666666666666,
Ethiopia,2017,58.30290904333333,57.29999999999999,
Ethiopia,2018,55.71518012333333,56.36666666666667,
Ethiopia,2019,53.46390224,58.9,
Ethiopia,2020,51.42614904333333,61.333333333333336,
Ethiopia,2021,70.25786828333334,63.76666666666667,
Ethiopia,2022,67.97560584666667,64.0,
Ethiopia,2023,51.39615665333333,64.56666666666668,
Ghana,2000,99.80840062666665,46.36666666666667,62.47976
Ghana,2001,95.68878886,47.03333333333333,57.346
